sample_id,stem,city,sar_path,opt_path,lab_path,split
43,JiuJiang_01_01_07_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_07_01_SAR_043.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_07_01_Optical_043.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_07_01_Label_043.tif,train
44,JiuJiang_01_01_07_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_07_02_SAR_044.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_07_02_Optical_044.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_07_02_Label_044.tif,train
45,JiuJiang_01_01_07_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_07_03_SAR_045.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_07_03_Optical_045.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_07_03_Label_045.tif,train
46,JiuJiang_01_01_07_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_07_04_SAR_046.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_07_04_Optical_046.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_07_04_Label_046.tif,train
47,JiuJiang_01_01_07_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_07_05_SAR_047.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_07_05_Optical_047.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_07_05_Label_047.tif,train
48,JiuJiang_01_01_07_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_07_06_SAR_048.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_07_06_Optical_048.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_07_06_Label_048.tif,train
49,JiuJiang_01_01_07_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_07_07_SAR_049.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_07_07_Optical_049.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_07_07_Label_049.tif,train
50,JiuJiang_01_01_08_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_08_01_SAR_050.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_08_01_Optical_050.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_08_01_Label_050.tif,train
51,JiuJiang_01_01_08_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_08_02_SAR_051.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_08_02_Optical_051.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_08_02_Label_051.tif,train
52,JiuJiang_01_01_08_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_08_03_SAR_052.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_08_03_Optical_052.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_08_03_Label_052.tif,train
53,JiuJiang_01_01_08_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_08_04_SAR_053.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_08_04_Optical_053.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_08_04_Label_053.tif,train
54,JiuJiang_01_01_08_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_08_05_SAR_054.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_08_05_Optical_054.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_08_05_Label_054.tif,train
55,JiuJiang_01_01_08_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_08_06_SAR_055.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_08_06_Optical_055.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_08_06_Label_055.tif,train
56,JiuJiang_01_01_08_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_08_07_SAR_056.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_08_07_Optical_056.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_08_07_Label_056.tif,train
57,JiuJiang_01_01_09_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_09_01_SAR_057.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_09_01_Optical_057.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_09_01_Label_057.tif,train
58,JiuJiang_01_01_09_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_09_02_SAR_058.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_09_02_Optical_058.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_09_02_Label_058.tif,train
59,JiuJiang_01_01_09_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_09_03_SAR_059.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_09_03_Optical_059.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_09_03_Label_059.tif,train
60,JiuJiang_01_01_09_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_09_04_SAR_060.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_09_04_Optical_060.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_09_04_Label_060.tif,train
61,JiuJiang_01_01_09_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_09_05_SAR_061.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_09_05_Optical_061.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_09_05_Label_061.tif,train
62,JiuJiang_01_01_09_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_09_06_SAR_062.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_09_06_Optical_062.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_09_06_Label_062.tif,train
63,JiuJiang_01_01_09_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_09_07_SAR_063.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_09_07_Optical_063.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_09_07_Label_063.tif,train
64,JiuJiang_01_01_10_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_10_01_SAR_064.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_10_01_Optical_064.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_10_01_Label_064.tif,train
65,JiuJiang_01_01_10_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_10_02_SAR_065.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_10_02_Optical_065.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_10_02_Label_065.tif,train
66,JiuJiang_01_01_10_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_10_03_SAR_066.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_10_03_Optical_066.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_10_03_Label_066.tif,train
67,JiuJiang_01_01_10_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_10_04_SAR_067.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_10_04_Optical_067.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_10_04_Label_067.tif,train
68,JiuJiang_01_01_10_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_10_05_SAR_068.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_10_05_Optical_068.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_10_05_Label_068.tif,train
69,JiuJiang_01_01_10_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_10_06_SAR_069.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_10_06_Optical_069.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_10_06_Label_069.tif,train
70,JiuJiang_01_01_10_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_10_07_SAR_070.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_10_07_Optical_070.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_10_07_Label_070.tif,train
71,JiuJiang_01_01_11_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_11_01_SAR_071.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_11_01_Optical_071.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_11_01_Label_071.tif,train
72,JiuJiang_01_01_11_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_11_02_SAR_072.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_11_02_Optical_072.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_11_02_Label_072.tif,train
73,JiuJiang_01_01_11_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_11_03_SAR_073.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_11_03_Optical_073.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_11_03_Label_073.tif,train
74,JiuJiang_01_01_11_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_11_04_SAR_074.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_11_04_Optical_074.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_11_04_Label_074.tif,train
75,JiuJiang_01_01_11_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_11_05_SAR_075.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_11_05_Optical_075.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_11_05_Label_075.tif,train
76,JiuJiang_01_01_11_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_11_06_SAR_076.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_11_06_Optical_076.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_11_06_Label_076.tif,train
77,JiuJiang_01_01_11_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_11_07_SAR_077.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_11_07_Optical_077.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_11_07_Label_077.tif,train
78,XiaMen_02_01_01_01,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_01_01_SAR_078.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_01_01_Optical_078.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_01_01_Label_078.tif,train
79,XiaMen_02_01_01_02,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_01_02_SAR_079.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_01_02_Optical_079.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_01_02_Label_079.tif,train
80,XiaMen_02_01_01_03,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_01_03_SAR_080.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_01_03_Optical_080.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_01_03_Label_080.tif,train
81,XiaMen_02_01_01_04,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_01_04_SAR_081.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_01_04_Optical_081.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_01_04_Label_081.tif,train
82,XiaMen_02_01_01_05,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_01_05_SAR_082.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_01_05_Optical_082.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_01_05_Label_082.tif,train
83,XiaMen_02_01_01_06,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_01_06_SAR_083.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_01_06_Optical_083.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_01_06_Label_083.tif,train
84,XiaMen_02_01_01_07,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_01_07_SAR_084.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_01_07_Optical_084.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_01_07_Label_084.tif,train
85,XiaMen_02_01_01_08,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_01_08_SAR_085.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_01_08_Optical_085.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_01_08_Label_085.tif,train
86,XiaMen_02_01_01_09,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_01_09_SAR_086.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_01_09_Optical_086.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_01_09_Label_086.tif,train
87,XiaMen_02_01_02_01,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_02_01_SAR_087.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_02_01_Optical_087.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_02_01_Label_087.tif,train
88,XiaMen_02_01_02_02,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_02_02_SAR_088.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_02_02_Optical_088.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_02_02_Label_088.tif,train
89,XiaMen_02_01_02_03,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_02_03_SAR_089.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_02_03_Optical_089.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_02_03_Label_089.tif,train
90,XiaMen_02_01_02_04,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_02_04_SAR_090.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_02_04_Optical_090.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_02_04_Label_090.tif,train
91,XiaMen_02_01_02_05,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_02_05_SAR_091.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_02_05_Optical_091.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_02_05_Label_091.tif,train
92,XiaMen_02_01_02_06,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_02_06_SAR_092.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_02_06_Optical_092.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_02_06_Label_092.tif,train
93,XiaMen_02_01_02_07,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_02_07_SAR_093.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_02_07_Optical_093.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_02_07_Label_093.tif,train
94,XiaMen_02_01_02_08,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_02_08_SAR_094.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_02_08_Optical_094.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_02_08_Label_094.tif,train
95,XiaMen_02_01_02_09,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_02_09_SAR_095.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_02_09_Optical_095.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_02_09_Label_095.tif,train
96,XiaMen_02_01_03_01,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_03_01_SAR_096.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_03_01_Optical_096.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_03_01_Label_096.tif,train
97,XiaMen_02_01_03_02,XiaMen,dl\data\extracted\SAR_1024\XiaMen_02_01_03_02_SAR_097.tif,dl\data\extracted\OPT_1024\XiaMen_02_01_03_02_Optical_097.tif,dl\data\extracted\LAB_1024\XiaMen_02_01_03_02_Label_097.tif,train
